Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,expected
-0.906361,0.855998,0.606326,0.542342,-0.263379,0.504822,-0.52889,-0.511088,0.601089,-0.127969,-0.239103,0.0899115,-0.212995,-0.0498097,-0.151089,-0.287638,-0.293915,0.217347,0.139648,0.0851753,0.168284,0.137597,-0.0338211,0.332233,-0.111104,0.160769,-0.0492309,-0.147377,-0.36386,-0.999922,fraud
-0.692289,0.241919,0.789776,-0.103714,0.046054,0.327481,-0.561365,-0.659954,0.855608,-0.348246,-0.349143,0.252146,-0.201294,-0.0676034,-0.284804,-0.327204,-0.543195,-0.320677,-0.372958,0.318757,0.194239,0.179404,-0.111457,0.306814,-0.202815,0.307405,-0.222379,-0.108001,-0.354396,-0.992216,fraud
-0.508241,0.895984,0.53633,0.700546,-0.568302,0.525509,-0.4806,-0.451013,0.570238,-0.13245,-0.00894985,-0.23278,0.42284,-0.281874,0.345063,-0.287728,-0.107818,0.464159,0.20536,0.180882,0.168405,0.119113,-0.0595382,0.348216,-0.176435,0.11246,0.190939,-0.173585,-0.373715,-0.982873,legitimate
-0.465068,0.897224,0.551614,0.728806,-0.359211,0.54325,-0.46216,-0.464229,0.573035,-0.123493,0.00781482,-0.56059,0.433904,0.0576366,0.28172,-0.228308,-0.182877,0.495724,0.246315,0.407726,0.166472,0.121028,0.0253901,0.319658,-0.428232,0.214158,-0.142114,-0.162456,-0.370581,-0.999455,legitimate
-0.44531,0.928968,0.564979,0.597857,-0.315544,0.514777,-0.508711,-0.494371,0.578471,-0.170434,-0.127623,-0.0947178,0.156451,-0.126602,-0.0320461,-0.16249,-0.302094,0.206227,-0.0453912,0.0940172,0.167153,0.135943,0.00773437,0.329888,-0.11133,0.218727,-0.015365,-0.147056,-0.361701,-0.999941,fraud
-0.36217,0.905056,0.490292,0.684238,-0.768008,0.53796,-0.396128,-0.494503,0.574726,-0.185774,0.052456,-0.484076,0.329319,-0.0108242,0.255286,-0.199925,-0.0487709,0.433695,0.461147,-0.0597938,0.165643,0.154043,-0.00476625,0.301351,0.0430674,0.239867,-0.187055,-0.161308,-0.362839,-0.974907,legitimate
-0.136175,0.897213,0.555628,0.713961,-0.506421,0.535178,-0.484328,-0.46252,0.57232,-0.110456,0.00832529,-0.290954,0.437134,-0.122994,0.27555,-0.288975,-0.0582189,0.441422,0.373612,0.179236,0.162385,0.115633,-0.040182,0.332138,-0.250881,0.140029,-0.127185,-0.162571,-0.370935,-0.999799,legitimate
-0.0878629,0.951957,0.537146,0.674663,-0.380048,0.528538,-0.495666,-0.462137,0.564774,-0.0884594,0.0185015,-0.478739,0.401744,-0.212807,0.339344,-0.209478,-0.099439,0.444446,0.22699,0.0987335,0.161051,0.113362,-0.0883941,0.33167,-0.147945,0.200214,-0.374135,-0.167954,-0.372158,-0.991224,legitimate
0.563672,0.924488,0.554331,0.513748,-0.223086,0.505815,-0.494901,-0.481722,0.582508,-0.150639,-0.128216,-0.182751,0.181432,0.00425378,-0.0702094,-0.0614096,-0.288023,0.32944,0.273976,0.435832,0.184841,0.152342,0.117367,0.360551,0.00735715,0.105059,-0.0860643,-0.160302,-0.374942,-0.973143,fraud
0.800477,0.881249,0.600077,0.487366,-0.220421,0.519487,-0.524181,-0.494551,0.584497,-0.282048,-0.228963,-0.00289305,-0.00749932,0.00250049,-0.283557,-0.0498335,-0.411568,0.210286,0.117147,0.60414,0.182984,0.147912,0.0401092,0.325395,-0.312094,0.211212,0.0901457,-0.142058,-0.360072,-0.992618,fraud
