Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,expected
-0.908665,0.862716,0.603346,0.531436,-0.287163,0.512515,-0.511752,-0.512101,0.603286,-0.15761,-0.240538,0.218837,-0.144433,0.107393,-0.152267,-0.399272,-0.266822,0.181282,0.230514,0.181598,0.167259,0.139129,-0.0309608,0.328593,-0.350217,0.169694,-0.0439122,-0.157231,-0.368362,-0.999922,fraud
-0.708343,0.376221,0.753859,0.0117111,0.052298,0.362621,-0.554937,-0.638623,0.799516,-0.270447,-0.382643,0.450001,-0.468713,0.117004,-0.288939,-0.428225,-0.590759,-0.332953,-0.350564,0.324723,0.192507,0.17382,-0.0993748,0.313008,-0.224643,0.267573,-0.238534,-0.10466,-0.35233,-0.992216,fraud
-0.513971,0.761435,0.605284,0.516374,-0.175541,0.497865,-0.495878,-0.536929,0.580378,-0.241474,-0.218415,-0.00284195,-0.0918561,-0.277995,-0.195135,-0.231907,-0.537411,-0.0521405,-0.325045,0.272964,0.155225,0.209186,0.0181139,0.321884,-0.258815,0.0978776,-0.245512,-0.159743,-0.368025,-0.999922,fraud
-0.508426,0.958968,0.538281,0.683796,-0.404166,0.527703,-0.485404,-0.469637,0.568602,-0.0539292,0.0184694,-0.551574,0.377337,-0.205201,0.318428,-0.158559,-0.0804148,0.426591,0.353654,0.0799228,0.157254,0.12711,0.0566369,0.324318,-0.266964,0.240787,-0.206446,-0.1663,-0.373049,-0.998915,legitimate
-0.465276,0.945862,0.524568,0.7127,-0.384253,0.522277,-0.453468,-0.478519,0.581914,-0.0351998,0.0167744,-0.275825,0.463849,-0.24001,0.304555,-0.25338,-0.104974,0.458953,0.29496,-0.0206262,0.159275,0.131858,0.0907177,0.327624,-0.31024,0.185677,-0.216935,-0.16423,-0.372418,-0.992546,legitimate
-0.362366,0.964196,0.517673,0.621741,-0.638094,0.552924,-0.409464,-0.478544,0.58563,-0.139306,0.0450823,-0.489358,0.394746,-0.078859,0.302764,-0.305987,-0.194744,0.451369,0.449666,0.110851,0.153926,0.10738,-0.0735886,0.328833,0.0483601,0.221297,0.211472,-0.169636,-0.373885,-0.997048,legitimate
-0.136418,0.952057,0.531653,0.710628,-0.349443,0.521195,-0.47196,-0.473712,0.574272,-0.0128766,0.00673306,-0.502597,0.454046,-0.193884,0.271729,-0.430384,-0.1583,0.495764,0.175845,0.0665535,0.15678,0.121307,0.0338958,0.32938,-0.119988,0.217565,-0.240626,-0.164527,-0.372537,-0.997275,legitimate
-0.0880249,0.925295,0.545921,0.698425,-0.451506,0.529107,-0.49111,-0.453712,0.558868,-0.114744,0.0244378,-0.440275,0.413167,-0.0204199,0.304402,-0.12248,-0.145759,0.473842,0.215344,0.429461,0.169814,0.115431,-0.0355251,0.347193,-0.123741,-0.0327763,0.0473192,-0.16728,-0.372711,-0.991828,legitimate
0.119462,0.790672,0.621205,0.543003,-0.344506,0.483199,-0.444407,-0.58652,0.315191,-0.0966453,-0.256722,-0.170725,0.0781381,0.216088,0.246794,-0.117912,-0.371923,0.162389,0.127417,0.531839,0.238036,-0.0543257,0.294502,0.358081,-0.30439,0.135175,-0.34007,-0.178624,-0.377698,-0.999922,fraud
0.501968,0.833886,0.602594,0.446219,-0.177576,0.516899,-0.508943,-0.469867,0.577238,-0.197037,-0.224064,-0.0429686,-0.0409938,-0.282175,-0.447765,-0.239388,-0.251769,0.383698,0.33265,0.208471,0.154557,0.121815,-0.0190473,0.335543,-0.428183,0.20845,-0.262964,-0.151472,-0.38705,-0.971776,fraud
